流水號,日期,縣市,區別,里別,調查種類,調查戶數,陽性戶數,調查積水容器數戶內,調查積水容器數戶外,調查積水容器數合計,陽性容器數戶內,陽性容器數戶外,陽性容器數合計,布氏指數,布氏級數,容器指數,容器級數
1,20250401,臺北市,大同區,斯文里,住宅,54,0,0,19,19,0,0,0,0,0,0,0
2,20250401,臺北市,大同區,蓬萊里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
3,20250401,臺北市,松山區,中崙里,住宅,4,0,0,7,7,0,0,0,0,0,0,0
4,20250401,臺北市,士林區,福德里,住宅,72,0,0,12,12,0,0,0,0,0,0,0
5,20250401,臺北市,士林區,後港里,住宅,72,0,0,5,5,0,0,0,0,0,0,0
6,20250402,臺北市,中正區,文北里,住宅,50,0,0,7,7,0,0,0,0,0,0,0
7,20250402,臺北市,中正區,東門里,住宅,50,0,0,15,15,0,0,0,0,0,0,0
8,20250402,臺北市,士林區,蘭興里,住宅,51,0,0,10,10,0,0,0,0,0,0,0
9,20250402,臺北市,士林區,蘭雅里,住宅,50,0,0,9,9,0,0,0,0,0,0,0
10,20250402,臺北市,中正區,河堤里,市場,1,0,0,6,6,0,0,0,0,0,0,0
11,20250402,臺北市,中正區,河堤里,住宅,50,0,0,11,11,0,0,0,0,0,0,0
12,20250402,臺北市,松山區,精忠里,住宅,58,0,0,18,18,0,0,0,0,0,0,0
13,20250402,臺北市,內湖區,石潭里,住宅,96,3,0,70,70,0,3,3,3,1,4,2
14,20250402,臺北市,中山區,恆安里,住宅,70,0,0,13,13,0,0,0,0,0,0,0
15,20250402,臺北市,內湖區,港富里,住宅,112,1,0,13,13,0,1,1,1,1,8,3
16,20250403,臺北市,內湖區,西安里,住宅,15,0,0,0,0,0,0,0,0,0,0,0
17,20250403,臺北市,中山區,圓山里,住宅,25,0,0,7,7,0,0,0,0,0,0,0
18,20250403,臺北市,士林區,岩山里,住宅,60,0,0,2,2,0,0,0,0,0,0,0
19,20250403,臺北市,士林區,聖山里,住宅,60,0,0,22,22,0,0,0,0,0,0,0
20,20250407,臺北市,士林區,德華里,住宅,60,0,0,3,3,0,0,0,0,0,0,0
21,20250407,臺北市,中正區,網溪里,住宅,50,0,0,10,10,0,0,0,0,0,0,0
22,20250407,臺北市,中正區,螢圃里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
23,20250407,臺北市,大安區,大學里,菜園,1,0,0,3,3,0,0,0,0,0,0,0
24,20250407,臺北市,中正區,南福里,住宅,50,0,10,5,15,0,0,0,0,0,0,0
25,20250407,臺北市,中正區,板溪里,住宅,50,0,0,5,5,0,0,0,0,0,0,0
26,20250407,臺北市,中正區,南福里,住宅,46,0,0,6,6,0,0,0,0,0,0,0
27,20250407,臺北市,中山區,中庄里,住宅,70,0,0,26,26,0,0,0,0,0,0,0
28,20250407,臺北市,信義區,正和里,住宅,188,1,0,75,75,0,1,1,1,1,1,1
29,20250407,臺北市,松山區,慈祐里,住宅,68,0,0,15,15,0,0,0,0,0,0,0
30,20250407,臺北市,松山區,新益里,住宅,56,0,0,18,18,0,0,0,0,0,0,0
31,20250407,臺北市,士林區,陽明里,學校,1,0,0,35,35,0,0,0,0,0,0,0
32,20250407,臺北市,大安區,大學里,住宅,72,1,0,43,43,0,1,1,1,1,2,1
33,20250407,臺北市,士林區,德行里,住宅,52,0,0,29,29,0,0,0,0,0,0,0
34,20250407,臺北市,文山區,博嘉里,住宅,118,0,0,16,16,0,0,0,0,0,0,0
35,20250407,臺北市,信義區,興雅里,住宅,100,1,0,46,46,0,1,1,1,1,2,1
36,20250407,臺北市,士林區,天壽里,住宅,60,0,0,7,7,0,0,0,0,0,0,0
37,20250407,臺北市,士林區,天祿里,住宅,60,0,0,4,4,0,0,0,0,0,0,0
38,20250407,臺北市,中正區,南門里,住宅,50,0,0,28,28,0,0,0,0,0,0,0
39,20250407,臺北市,中正區,愛國里,住宅,50,0,0,3,3,0,0,0,0,0,0,0
40,20250407,臺北市,北投區,智仁里,住宅,50,0,0,1,1,0,0,0,0,0,0,0
41,20250407,臺北市,北投區,秀山里,住宅,50,0,0,9,9,0,0,0,0,0,0,0
42,20250407,臺北市,北投區,文化里,住宅,50,1,0,36,36,0,1,1,2,1,3,2
43,20250407,臺北市,北投區,豐年里,住宅,50,0,0,19,19,0,0,0,0,0,0,0
44,20250408,臺北市,北投區,桃源里,住宅,50,0,0,5,5,0,0,0,0,0,0,0
45,20250408,臺北市,北投區,關渡里,住宅,50,1,0,13,13,0,1,1,2,1,8,3
46,20250408,臺北市,北投區,一德里,住宅,50,1,0,32,32,0,1,1,2,1,3,2
47,20250408,臺北市,中正區,水源里,市場,1,0,0,18,18,0,0,0,0,0,0,0
48,20250408,臺北市,中正區,文盛里,住宅,50,0,0,5,5,0,0,0,0,0,0,0
49,20250408,臺北市,松山區,美仁里,機關,1,0,12,0,12,0,0,0,0,0,0,0
50,20250408,臺北市,士林區,富光里,住宅,55,0,0,15,15,0,0,0,0,0,0,0
51,20250408,臺北市,士林區,葫蘆里,住宅,59,0,0,5,5,0,0,0,0,0,0,0
52,20250408,臺北市,北投區,稻香里,住宅,50,0,0,2,2,0,0,0,0,0,0,0
53,20250408,臺北市,內湖區,金龍里,住宅,88,0,0,16,16,0,0,0,0,0,0,0
54,20250408,臺北市,中山區,圓山里,其他,1,1,4,36,40,0,2,2,200,9,5,2
55,20250408,臺北市,大同區,延平里,住宅,52,1,0,6,6,0,2,2,4,1,33,8
56,20250408,臺北市,大安區,龍生里,住宅,82,1,0,14,14,0,1,1,1,1,7,3
57,20250408,臺北市,大安區,錦安里,住宅,60,0,0,5,5,0,0,0,0,0,0,0
